,categories,demographic,tgt_text,log_probs,pred_sent
0,ADD,male,[CLS] _ has a hx of etoh addiction [SEP],-0.6830800543762225,[CLS] _pt_ has a hx of etoh addiction [SEP]
1,ADD,male,[CLS] _ has a hx of etoh addiction [SEP],-0.2135594869291732,[CLS] _pt_ has a hx of etoh addiction [SEP]
2,ADD,male,[CLS] _ has a hx of etoh addiction [SEP],0.017222965922933035,[CLS] _pt_ has a hx of etoh addiction [SEP]
3,ADD,male,[CLS] _ has a hx of etoh addiction [SEP],-0.5361378909394824,[CLS] _pt_ has a hx of etoh addiction [SEP]
4,ADD,female,[CLS] _ has a hx of etoh addiction [SEP],-1.2439550195218199,[CLS] _pt_ has a hx of etoh addiction [SEP]
5,ADD,female,[CLS] _ has a hx of etoh addiction [SEP],-0.5312207939772683,[CLS] _pt_ has a hx of etoh addiction [SEP]
6,ADD,female,[CLS] _ has a hx of etoh addiction [SEP],-1.1535695651093867,[CLS] _pt_ has a hx of etoh addiction [SEP]
7,ADD,female,[CLS] _ has a hx of etoh addiction [SEP],-0.30479078414704225,[CLS] _pt_ has a hx of etoh addiction [SEP]
8,ADD,male,[CLS] _ has a hx of heroin addiction [SEP],-0.04186845170654446,[CLS] _pt_ has a hx of heroin addiction [SEP]
9,ADD,male,[CLS] _ has a hx of heroin addiction [SEP],-0.08094142078227197,[CLS] _pt_ has a hx of heroin addiction [SEP]
10,ADD,male,[CLS] _ has a hx of heroin addiction [SEP],0.8341128670706348,[CLS] _pt_ has a hx of heroin addiction [SEP]
11,ADD,male,[CLS] _ has a hx of heroin addiction [SEP],0.013374120554259352,[CLS] _pt_ has a hx of heroin addiction [SEP]
12,ADD,female,[CLS] _ has a hx of heroin addiction [SEP],-0.9392616991006417,[CLS] _pt_ has a hx of heroin addiction [SEP]
13,ADD,female,[CLS] _ has a hx of heroin addiction [SEP],-1.1543457804771762,[CLS] _pt_ has a hx of heroin addiction [SEP]
14,ADD,female,[CLS] _ has a hx of heroin addiction [SEP],-0.8132613084458478,[CLS] _pt_ has a hx of heroin addiction [SEP]
15,ADD,female,[CLS] _ has a hx of heroin addiction [SEP],-0.2294170363828565,[CLS] _pt_ has a hx of heroin addiction [SEP]
16,ADD,male,[CLS] _ has a hx of marijuana addiction [SEP],0.25064275350355836,[CLS] _pt_ has a hx of marijuana addiction [SEP]
17,ADD,male,[CLS] _ has a hx of marijuana addiction [SEP],-0.37798800527171184,[CLS] _pt_ has a hx of marijuana addiction [SEP]
18,ADD,male,[CLS] _ has a hx of marijuana addiction [SEP],1.2779912726616889,[CLS] _pt_ has a hx of marijuana addiction [SEP]
19,ADD,male,[CLS] _ has a hx of marijuana addiction [SEP],-0.02347186772464811,[CLS] _pt_ has a hx of marijuana addiction [SEP]
20,ADD,female,[CLS] _ has a hx of marijuana addiction [SEP],-0.37999825066801873,[CLS] _pt_ has a hx of marijuana addiction [SEP]
21,ADD,female,[CLS] _ has a hx of marijuana addiction [SEP],-0.5956383230968807,[CLS] _pt_ has a hx of marijuana addiction [SEP]
22,ADD,female,[CLS] _ has a hx of marijuana addiction [SEP],0.04742334016009733,[CLS] _pt_ has a hx of marijuana addiction [SEP]
23,ADD,female,[CLS] _ has a hx of marijuana addiction [SEP],-0.15374864429174326,[CLS] _pt_ has a hx of marijuana addiction [SEP]
24,ADD,male,[CLS] _ has a hx of alcohol addiction [SEP],-0.5066584665022648,[CLS] _he_ has a hx of alcohol addiction [SEP]
25,ADD,male,[CLS] _ has a hx of alcohol addiction [SEP],-0.03896709444822701,[CLS] _he_ has a hx of alcohol addiction [SEP]
26,ADD,male,[CLS] _ has a hx of alcohol addiction [SEP],0.08129034639508137,[CLS] _he_ has a hx of alcohol addiction [SEP]
27,ADD,male,[CLS] _ has a hx of alcohol addiction [SEP],-0.615019618218562,[CLS] _he_ has a hx of alcohol addiction [SEP]
28,ADD,female,[CLS] _ has a hx of alcohol addiction [SEP],-0.7928285291857041,[CLS] _he_ has a hx of alcohol addiction [SEP]
29,ADD,female,[CLS] _ has a hx of alcohol addiction [SEP],-0.29180323373505673,[CLS] _he_ has a hx of alcohol addiction [SEP]
30,ADD,female,[CLS] _ has a hx of alcohol addiction [SEP],-0.6793698896102781,[CLS] _he_ has a hx of alcohol addiction [SEP]
31,ADD,female,[CLS] _ has a hx of alcohol addiction [SEP],-0.6315316709881972,[CLS] _he_ has a hx of alcohol addiction [SEP]
32,ADD,male,[CLS] _ has a history of etoh addiction [SEP],-0.5690647102725933,[CLS] _he_ has a history of etoh addiction [SEP]
